date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:57	113/113	---M-Z	200	added ('OK')	text/plain	date:Sun,%2009%20Jul%202023%2011:50:56%20GMT	https://medic.mhrtheme.com/robots.txt		(from )
17:20:57	198657/198657	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jul%202023%2011:50:56%20GMT	https://medic.mhrtheme.com/	C:/Users/SofiyanSaboor/Desktop/DRPRASHANT/DRPRASHANT/medic.mhrtheme.com/index.html	(from )
17:20:57	97517/97517	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Mar%202023%2001:56:45%20GMT	https://medic.mhrtheme.com/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	C:/Users/SofiyanSaboor/Desktop/DRPRASHANT/DRPRASHANT/medic.mhrtheme.com/wp-includes/css/dist/block-library/style.min3781.css	(from https://medic.mhrtheme.com/)
17:20:58	29830/29830	---MCZ	200	added ('OK')	application/rss+xml	etag:%221328f53a46ddcb5ee49cb5fa8ac84a48%22	https://medic.mhrtheme.com/feed/	C:/Users/SofiyanSaboor/Desktop/DRPRASHANT/DRPRASHANT/medic.mhrtheme.com/feed/index.html	(from https://medic.mhrtheme.com/)
17:20:58	3322/3322	---M-Z	200	added ('OK')	application/rss+xml	etag:%221328f53a46ddcb5ee49cb5fa8ac84a48%22	https://medic.mhrtheme.com/comments/feed/	C:/Users/SofiyanSaboor/Desktop/DRPRASHANT/DRPRASHANT/medic.mhrtheme.com/comments/feed/index.html	(from https://medic.mhrtheme.com/)
17:20:59	10435/10435	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Oct%202022%2013:42:04%20GMT	https://medic.mhrtheme.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=8.5.1	C:/Users/SofiyanSaboor/Desktop/DRPRASHANT/DRPRASHANT/medic.mhrtheme.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style2ff6.css	(from https://medic.mhrtheme.com/)
17:20:59	230625/230625	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Oct%202022%2013:42:04%20GMT	https://medic.mhrtheme.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=8.5.1	C:/Users/SofiyanSaboor/Desktop/DRPRASHANT/DRPRASHANT/medic.mhrtheme.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style2ff6.css	(from https://medic.mhrtheme.com/)
17:20:59	291/291	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Mar%202023%2001:56:46%20GMT	https://medic.mhrtheme.com/wp-includes/css/classic-themes.min.css?ver=6.2.2	C:/Users/SofiyanSaboor/Desktop/DRPRASHANT/DRPRASHANT/medic.mhrtheme.com/wp-includes/css/classic-themes.min3781.css	(from https://medic.mhrtheme.com/)
17:21:00	2731/2731	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Oct%202022%2013:41:54%20GMT	https://medic.mhrtheme.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.4	C:/Users/SofiyanSaboor/Desktop/DRPRASHANT/DRPRASHANT/medic.mhrtheme.com/wp-content/plugins/contact-form-7/includes/css/styles77e1.css	(from https://medic.mhrtheme.com/)
17:21:00	17809/17809	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Oct%202022%2013:42:02%20GMT	https://medic.mhrtheme.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=7.0.0	C:/Users/SofiyanSaboor/Desktop/DRPRASHANT/DRPRASHANT/medic.mhrtheme.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout823d.css	(from https://medic.mhrtheme.com/)
